YEAR,MO,DY,HR,T2M;
2015,2,5,15,3.3;
2015,2,5,16,3.76;
2015,2,5,17,3.61;
2015,2,5,18,3.48;
2015,2,5,19,3.55;
2015,2,5,20,3.34;
2015,2,5,21,2.9;
2015,2,5,22,3.28;
2015,2,5,23,3.8;
2015,2,6,0,3.87;
2015,2,6,1,3.8;
2015,2,6,2,3.66;
2015,2,6,3,3.57;
2015,2,6,4,3.63;
2015,2,6,5,3.9;
2015,2,6,6,4.13;
2015,2,6,7,4.22;
2015,2,6,8,4.26;
2015,2,6,9,4.12;
2015,2,6,10,3.97;
2015,2,6,11,4.15;
2015,2,6,12,4.47;
2015,2,6,13,4.59;
2015,2,6,14,4.54;
2015,2,6,15,4.32;
2015,2,6,16,4.03;
2015,2,6,17,3.86;
2015,2,6,18,3.9;
2015,2,6,19,3.8;
2015,2,6,20,3.55;
2015,2,6,21,3.28;
2015,2,6,22,3.08;
2015,2,6,23,2.89;
2015,2,7,0,2.8;
2015,2,7,1,2.69;
2015,2,7,2,2.56;
2015,2,7,3,2.44;
2015,2,7,4,2.25;
2015,2,7,5,2.17;
2015,2,7,6,2.08;
2015,2,7,7,2.06;
2015,2,7,8,2.79;
2015,2,7,9,3.39;
2015,2,7,10,3.9;
2015,2,7,11,4.48;
2015,2,7,12,5.0;
2015,2,7,13,5.48;
2015,2,7,14,5.8;
2015,2,7,15,5.83;
2015,2,7,16,4.91;
2015,2,7,17,3.84;
2015,2,7,18,3.43;
2015,2,7,19,3.01;
2015,2,7,20,2.68;
2015,2,7,21,2.56;
2015,2,7,22,2.75;
2015,2,7,23,3.08;
2015,2,8,0,3.37;
2015,2,8,1,3.2;
2015,2,8,2,2.86;
2015,2,8,3,2.51;
2015,2,8,4,2.19;
2015,2,8,5,2.37;
2015,2,8,6,2.53;
2015,2,8,7,2.62;
2015,2,8,8,3.49;
2015,2,8,9,4.51;
2015,2,8,10,5.56;
2015,2,8,11,6.41;
2015,2,8,12,7.67;
2015,2,8,13,8.16;
2015,2,8,14,8.32;
2015,2,8,15,7.98;
2015,2,8,16,6.54;
2015,2,8,17,5.02;
2015,2,8,18,4.4;
2015,2,8,19,3.98;
2015,2,8,20,3.65;
2015,2,8,21,3.31;
2015,2,8,22,2.76;
2015,2,8,23,2.1;
2015,2,9,0,1.76;
2015,2,9,1,1.89;
2015,2,9,2,2.17;
2015,2,9,3,2.19;
2015,2,9,4,1.94;
2015,2,9,5,1.6;
2015,2,9,6,1.45;
2015,2,9,7,1.7;
2015,2,9,8,3.39;
2015,2,9,9,4.61;
2015,2,9,10,5.4;
2015,2,9,11,5.8;
2015,2,9,12,6.1;
2015,2,9,13,6.3;
2015,2,9,14,6.36;
2015,2,9,15,6.03;
2015,2,9,16,4.82;
2015,2,9,17,3.29;
2015,2,9,18,2.8;
2015,2,9,19,2.59;
2015,2,9,20,2.8;
2015,2,9,21,3.17;
2015,2,9,22,3.47;
2015,2,9,23,3.59;
2015,2,10,0,3.69;
2015,2,10,1,3.83;
2015,2,10,2,3.94;
2015,2,10,3,3.92;
2015,2,10,4,4.08;
2015,2,10,5,4.28;
2015,2,10,6,4.28;
2015,2,10,7,4.3;
2015,2,10,8,5.77;
2015,2,10,9,7.37;
2015,2,10,10,8.25;
2015,2,10,11,8.78;
2015,2,10,12,9.16;
2015,2,10,13,9.76;
2015,2,10,14,9.73;
2015,2,10,15,9.2;
2015,2,10,16,7.91;
2015,2,10,17,6.79;
2015,2,10,18,6.38;
2015,2,10,19,5.85;
2015,2,10,20,5.3;
2015,2,10,21,4.87;
2015,2,10,22,4.75;
2015,2,10,23,4.92;
2015,2,11,0,5.2;
2015,2,11,1,5.52;
2015,2,11,2,5.83;
2015,2,11,3,6.04;
2015,2,11,4,5.98;
2015,2,11,5,5.64;
2015,2,11,6,5.26;
